category;description;prompt_used;domain;reason;speed_sec;input_tokens;output_tokens;relevance;brandability
abstract/creative;A bookstore that breathes magic into pages, where every corner whispers untold stories.;prompt_B;WhisperingPages;Evocative - captures the essence of magical storytelling.;3.0;708;120;3;5
abstract/creative;A bookstore that breathes magic into pages, where every corner whispers untold stories.;prompt_B;EnchantedShelf;Compound - merges enchantment with the idea of a physical space for books.;3.0;708;120;5;4
abstract/creative;A bookstore that breathes magic into pages, where every corner whispers untold stories.;prompt_B;StoryNest;Evocative - evokes the feeling of a cozy, welcoming space for stories.;3.0;708;120;4;4
abstract/creative;A bookstore that breathes magic into pages, where every corner whispers untold stories.;prompt_B;ArcaneReads;Abstract - uses a unique blend of sounds suggesting mystery and allure.;3.0;708;120;3;4
abstract/creative;A bookstore that breathes magic into pages, where every corner whispers untold stories.;prompt_B;MagicBoundBooks;Compound - combines magic with the concept of being bound to stories.;3.0;708;120;4;5
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;prompt_B;NauticalInsights;Abstract/Blended, implies navigation through insights.;2.0;712;103;3;3
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;prompt_B;DataHaven;Evocative, suggests safety and potential in data.;2.0;712;103;5;4
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;prompt_B;BrandBeacon;Compound, combines brand focus and guiding light.;2.0;712;103;5;5
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;prompt_B;LighthouseData;Evocative, symbolizes guidance in data realms.;2.0;712;103;5;3
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;prompt_B;SeaOfMetrics;Oxymoronic, contrasts vast data with targeted navigation.;2.0;712;103;3;4
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;prompt_B;PathToVlog;Outcome-Centric, emphasizing the journey of becoming a successful vlogger.;2.0;708;119;5;4
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;prompt_B;StarVlog;Oxymoronic, merging guidance (north star) with vlogging.;2.0;708;119;2;1
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;prompt_B;VistaVlog;Compound, combines a view (vista) with vlogging.;2.0;708;119;2;4
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;prompt_B;VloggerNova;Abstract/Blended, conveys a sense of newness and direction.;2.0;708;119;4;4
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;prompt_B;VlogCompass;Evocative, guiding users through the vlogging journey.;2.0;708;119;5;4
abstract/creative;Where threads of imagination weave tomorrow's stories into tangible experiences;prompt_B;StoryTapestry;Evocative - Conveys the concept of weaving stories together into rich experiences.;3.0;702;150;5;5
abstract/creative;Where threads of imagination weave tomorrow's stories into tangible experiences;prompt_B;TangibleTales;Abstract/Blended - A unique blend that captures both experience ('tangible') and narrative ('tales').;3.0;702;150;4;5
abstract/creative;Where threads of imagination weave tomorrow's stories into tangible experiences;prompt_B;WeaveTomorrow;Compound - Two impactful words that evoke the idea of crafting future stories.;3.0;702;150;3;5
abstract/creative;Where threads of imagination weave tomorrow's stories into tangible experiences;prompt_B;ImaginaCraft;Evocative - Combining 'imagination' and 'craft' to suggest creation and experience.;3.0;702;150;3;5
abstract/creative;Where threads of imagination weave tomorrow's stories into tangible experiences;prompt_B;VisionaryNest;Oxymoronic - Suggests a safe space for imaginative ideas while hinting at growth and nurturing.;3.0;702;150;3;3
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;prompt_B;TaskLingo;Compound - combining 'task' and 'lingo' to suggest both outsourcing help and language learning.;3.0;709;131;5;5
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;prompt_B;LingoNest;Evocative - suggests a safe space for learning languages while implying assistance and care.;3.0;709;131;4;3
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;prompt_B;LingoBurst;Abstract/Blended - combines language with the idea of bursts of help or inspiration.;3.0;709;131;2;3
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;prompt_B;SwiftAssist;Outcome-Centric - conveys efficiency in task management and support.;3.0;709;131;1;2
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;prompt_B;QuickLingo;Evocative - emphasizes speed in task completion and learning a new language.;3.0;709;131;3;2
ambiguous;A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.;prompt_B;FitHaven;Evocative: Suggests a sanctuary for fitness and productivity, appealing to the wellness community.;5.0;712;142;3;2
ambiguous;A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.;prompt_B;PulseNest;Compound: Merging the idea of fitness (pulse) with a cozy place to work and relax (nest).;5.0;712;142;3;2
ambiguous;A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.;prompt_B;SmoothFit;Abstract/Blended: A blend of smoothie benefits and fitness, emphasizing health and wellness.;5.0;712;142;3;2
ambiguous;A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.;prompt_B;CoreCafé;Compound: Highlights core strength from Pilates and the café aspect, suggesting a gathering hub.;5.0;712;142;4;4
ambiguous;A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.;prompt_B;FlexiBrew;Evocative: Combines flexibility of fitness with brewing of smoothies and coffee.;5.0;712;142;3;4
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;prompt_B;CommitFreeLuxury;Addresses the no-strings commitment while highlighting the luxury appeal.;2.0;710;121;3;3
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;prompt_B;ValueWheels;Conveys affordability and dynamism in tire sales, suggesting a value-driven luxury.;2.0;710;121;5;4
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;prompt_B;GenuineGlam;Captures the essence of authenticity in affordable luxury and a casual feel.;2.0;710;121;1;3
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;prompt_B;TireAffordance;Evokes affordability and the concept of luxury being within reach.;2.0;710;121;4;2
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;prompt_B;LuxTread;Combines luxury with practical tire sales while maintaining a sleek sound.;2.0;710;121;3;4
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_B;AffordGlam;A compound name that brings together affordability and glamour, ideal for luxury electronics and fashion without breaking the bank.;3.0;702;174;3;4
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_B;VogueEssence;Evocative of trendy high fashion with an underlying essence of value, suitable for an upscale yet budget-friendly brand.;3.0;702;174;4;3
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_B;LuxFrugal;An oxymoronic name blending luxury and affordability, ideal for a brand that focuses on high-end fashion and electronics.;3.0;702;174;5;5
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_B;ChicValue;Evocative of stylishness and budget-friendliness, capturing the essence of high-end fashion at accessible prices.;3.0;702;174;4;3
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_B;EliteSpree;Combining 'Elite' for high-end appeal with 'Spree' for a sense of shopping fun, this name works for both fashion and electronics.;3.0;702;174;4;5
