category,description,domain
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",Lighthouse
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,Frameup
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,Contentcraft
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,Streamwell
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,Vlogify
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,Viewpoint
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",Chartwell
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",Guidinglight
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",Beaconwise
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",Safehaven
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,RoadsideTax
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,Assistify
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,OutsourceHub
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,LinguaTask
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,TaskMate
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,DealMark
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,Wheelmark
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,TaskLingua
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,TireMark
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,GourmetGadget
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,StyleBoutique
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,HauteTable
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,LuxeBite
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,CoutureCircuit
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,TaxTirePro
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",Hearthmark
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",TerraTable
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",GreenBowlStudio
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",EmberCeramics
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",EarthwareCo
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,FreshStartServices
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,SpotlessHomes
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,MoveOutMasters
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,CleanHaven
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,RiseHouse
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,Grainwell
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,HearthBread
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,DailyCrust
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,Flourwell
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,DeepCleanPro
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,KappoShibuya
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",KaunasKebap
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",GünBakir
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",DainavaDolma
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",KaunasKofte
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",DainavaBazaar
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,IkiIkiTokyo
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,Crustapart
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,SushiKaiTokyo
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,KaitoBar
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,Doughwell
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,CasaPizzaiola
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,Pizzapassione
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,FlourMark
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,GrilledFishTokyo
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,BreatheWell
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,Kalmi
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,NidraFlow
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,PranaRest
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,Restify
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,BellaVita
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,PastaPiazza
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,BellaPiazza
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,PiazzaBella
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,TagliatelleClub
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,CozyCup
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,PainAuChocolat
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,CaféCouture
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,Paucaf
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,TierraDeDiseño
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,FiestaDeModa
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,CulturaBoutique
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,AzulVestido
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,MexiCouture
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,MaisonBrew
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,HighFPGA
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,AccelerateTrading
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,FPGATrade
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,PrecisionGen
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,TradeFusion
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,GenEdit
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,EditaBio
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,Genixa
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,Curegen
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,CatalystFPGA
