category,description,prompt_used,domain,reason,speed_sec,input_tokens,output_tokens
abstract/creative,"A bookstore that breathes magic into pages, where every corner whispers untold stories.",prompt_C,PageWhispers,Evokes the idea that each page holds stories waiting to be uncovered. 'Whispers' suggests a gentle mystery.,3.0,840,157
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,prompt_C,VlogNest,"Implies comfort and security in starting a vlogging career, evoking a nurturing space for growth.",3.0,840,162
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,prompt_C,VlogWave,"Suggests riding the wave of vlogging trends and adventures, conveying movement and excitement.",3.0,840,162
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,prompt_C,VlogSphere,"Conjures a sense of community and a world of vlogging, indicating a holistic approach to vlogger support.",3.0,840,162
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,prompt_C,VlogDrift,"Evokes smooth navigation in vlogging, implying a seamless journey through the challenges.",3.0,840,162
abstract/creative,We are your north star in overcoming all the peculiarities of becoming a vlogger.,prompt_C,VlogBloom,"Combines 'Vlog' (vlogger focus) with 'Bloom' (growth, flourishing), suggesting a blossoming journey into vlogging.",3.0,840,162
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",prompt_C,LumenPath,"Merges 'lumen' (light) with 'path', suggesting a clear, illuminated direction for brands amidst data.",3.0,844,161
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",prompt_C,BrandHaven,"Conveys a safe harbor for brands, suggesting security and potential in a sea of data.",3.0,844,161
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",prompt_C,DataHelm,"Combines 'data' with 'helm', suggesting control and navigation through data, evoking authority and guidance.",3.0,844,161
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",prompt_C,Lightwave,"Evokes the guiding light of a lighthouse combined with the flow of data, suggesting both illumination and movement.",3.0,844,161
abstract/creative,"We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.",prompt_C,AetherGuide,"'Aether' implies a refined, elevated approach to data navigation, suggesting expertise and a broad perspective.",3.0,844,161
abstract/creative,Where threads of imagination weave tomorrow's stories into tangible experiences,prompt_C,Fableux,"A play on 'fable' and the French 'lux' (light), suggesting illuminating storytelling. Unique and elegant with a trendy feel.",4.0,834,191
abstract/creative,Where threads of imagination weave tomorrow's stories into tangible experiences,prompt_C,Weavocity,Merges 'weave' and 'velocity' to imply speed in creating stories. Conveys creativity and swift transformation.,4.0,834,191
abstract/creative,Where threads of imagination weave tomorrow's stories into tangible experiences,prompt_C,Threadscape,"Fuses 'thread' with 'landscape' to evoke a rich, storytelling environment. Strong phonetics and an emotional landscape.",4.0,834,191
abstract/creative,Where threads of imagination weave tomorrow's stories into tangible experiences,prompt_C,Imagistitch,Combines 'imagi' (from imagination) and 'stitch' to convey weaving stories together. Instant sound and visual recognition.,4.0,834,191
abstract/creative,"A bookstore that breathes magic into pages, where every corner whispers untold stories.",prompt_C,EnchantedVolumes,"Conveys a magical atmosphere, suggesting books that transport readers into extraordinary stories.",3.0,840,157
abstract/creative,"A bookstore that breathes magic into pages, where every corner whispers untold stories.",prompt_C,WhimsyWords,"Captures the joyful and playful essence of storytelling, encouraging exploration in a whimsical context.",3.0,840,157
abstract/creative,"A bookstore that breathes magic into pages, where every corner whispers untold stories.",prompt_C,StoryRealm,Conveys a space where stories come alive; 'realm' adds a sense of mystical adventure.,3.0,840,157
abstract/creative,"A bookstore that breathes magic into pages, where every corner whispers untold stories.",prompt_C,MagicTomes,"Combines 'magic' with 'tomes', an old term for books, creating a sense of enchantment and historical resonance.",3.0,840,157
abstract/creative,Where threads of imagination weave tomorrow's stories into tangible experiences,prompt_C,Talespire,"Combines 'tale' and 'aspire', signifying the aspiration to create impactful stories. Evokes emotion and possibility in a compelling way.",4.0,834,191
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,prompt_C,AffordOn,"A fusion of 'Affordable' and 'On', suggesting that luxury is continuously available, without barriers. 3 syllables, radio test compliant, implies a feeling of openness and accessibility.",4.0,842,239
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,prompt_C,EliteCycle,"Evokes the notion of an elite choice in cars and tires, while 'Cycle' implies ongoing service and commitment. 2 syllables, immediately clear upon hearing, evokes prestige.",4.0,842,239
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,prompt_C,Caradia,"An invented term combining 'Car' with a soft ending, creating a luxurious yet approachable vibe. 3 syllables, distinct, fresh, and meets all naming guidelines.",4.0,842,239
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,prompt_C,TaskLingo,"Combines 'Task' and 'Lingo,' suggesting a seamless service for completing tasks and learning languages. Two syllables, clear radio test compliance, hard consonants convey authority.",6.0,841,298
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,prompt_C,VerbaServe,"Combines 'Verba' (Latin for words) and 'Serve,' indicating word-related services and tasks. Two syllables, sophisticated feel due to Latin root, representing service and communication effectively.",6.0,841,298
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,prompt_C,QuickQuill,"Suggests speed ('Quick') and creativity ('Quill,' associated with writing and tasks). Engages with hard consonants, making it memorable and punchy, and evokes a sense of action.",6.0,841,298
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,prompt_C,TaskFluency,"Conveys proficiency in both task management and language skills. The blend of 'Task' and 'Fluency' enhances the idea of mastery. Two syllables, clear and relevant, reflects competence.",6.0,841,298
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,prompt_C,TireVest,"Blends 'Tire' with 'Invest', suggesting a commitment to quality and value in automotive needs. 2 syllables, evokes trust and growth, and meets phonosemantic principles.",4.0,842,239
ambiguous, Service where you can outsource random tasks you don't have time for and also offers language lessons.,prompt_C,LinguistEase,"Merges 'Linguist' and 'Ease,' evoking the effortless learning and task management experience. Two syllables, soft consonants add a sense of luxury and flow, creating a sense of comfort.",6.0,841,298
ambiguous,Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.,prompt_C,LuxTurn,"Combines 'Lux' (luxury) with 'Turn' (as in turning points in finance), evocative of a high-value service that is accessible. 2 syllables, radio test compliant, and suggests transformation.",4.0,842,239
ambiguous,"A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.",prompt_C,Pilaflow,"Merges Pilates with the concept of flow, representing movement, ease, and connection. Two syllables, fluid sound, and captures the essence of the studio's offerings.",5.0,844,226
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,prompt_C,Chicraft,"Merges 'chic' and 'craft,' implying crafted elegance in budget fashion with a touch of artistry.",3.0,834,172
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,prompt_C,Voguelet,"Combines 'vogue' and 'let,' evoking a notion of fashion-forward choices that are accessible and stylish.",3.0,834,172
ambiguous,"A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.",prompt_C,BlendNest,"Combines the concepts of blending (smoothies, community) with a cozy, inviting space (Nest). Two syllables, maintains a warm sound, and conveys the vibe of comfort and collaboration.",5.0,844,226
