category;description;domain;relevance;brandability
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Lighthouse;4;3
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Chartwell;2;4
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Guidinglight;3;3
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Beaconwise;3;3
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Safehaven;1;1
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Frameup;1;4
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Contentcraft;4;4
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Streamwell;1;3
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Vlogify;4;3
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Viewpoint;1;4
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;Assistify;4;4
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;OutsourceHub;4;4
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;LinguaTask;4;2
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;TaskMate;3;2
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;TaskLingua;4;4
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;RoadsideTax;5;5
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;DealMark;1;3
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;Wheelmark;1;4
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;TireMark;3;3
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;TaxTirePro;4;3
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;GourmetGadget;2;3
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;StyleBoutique;1;1
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;HauteTable;3;4
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;LuxeBite;2;1
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;CoutureCircuit;4;4
